name,generation,status,type_number,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,percentage_male,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
Bulbasaur,1,Normal,2,Grass,Poison,0.7,6.9,318,45,49,49,65,65,45,45,70,64,87.5,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Ivysaur,1,Normal,2,Grass,Poison,1,13,405,60,62,63,80,80,60,45,70,142,87.5,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Venusaur,1,Normal,2,Grass,Poison,2,100,525,80,82,83,100,100,80,45,70,236,87.5,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Mega Venusaur,1,Normal,2,Grass,Poison,2.4,155.5,625,80,100,123,122,120,80,45,70,281,87.5,1,1,0.5,0.5,0.25,1,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Charmander,1,Normal,1,Fire,none,0.6,8.5,309,39,52,43,60,50,65,45,70,62,87.5,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Charmeleon,1,Normal,1,Fire,none,1.1,19,405,58,64,58,80,65,80,45,70,142,87.5,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Charizard,1,Normal,2,Fire,Flying,1.7,90.5,534,78,84,78,109,85,100,45,70,240,87.5,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
Mega Charizard X,1,Normal,2,Fire,Dragon,1.7,110.5,634,78,130,111,130,85,100,45,70,285,87.5,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1
Mega Charizard Y,1,Normal,2,Fire,Flying,1.7,100.5,634,78,104,78,159,115,100,45,70,285,87.5,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
Squirtle,1,Normal,1,Water,none,0.5,9,314,44,48,65,50,64,43,45,70,63,87.5,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Wartortle,1,Normal,1,Water,none,1,22.5,405,59,63,80,65,80,58,45,70,142,87.5,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Blastoise,1,Normal,1,Water,none,1.6,85.5,530,79,83,100,85,105,78,45,70,239,87.5,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Mega Blastoise,1,Normal,1,Water,none,1.6,101.1,630,79,103,120,135,115,78,45,70,284,87.5,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Caterpie,1,Normal,1,Bug,none,0.3,2.9,195,45,30,35,20,20,45,255,70,39,50,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Metapod,1,Normal,1,Bug,none,0.7,9.9,205,50,20,55,25,25,30,120,70,72,50,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Butterfree,1,Normal,2,Bug,Flying,1.1,32,395,60,45,50,90,80,70,45,70,178,50,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Weedle,1,Normal,2,Bug,Poison,0.3,3.2,195,40,35,30,20,20,50,255,70,39,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Kakuna,1,Normal,2,Bug,Poison,0.6,10,205,45,25,50,25,25,35,120,70,72,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Beedrill,1,Normal,2,Bug,Poison,1,29.5,395,65,90,40,45,80,75,45,70,178,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Mega Beedrill,1,Normal,2,Bug,Poison,1.4,40.5,495,65,150,40,15,80,145,45,70,223,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Pidgey,1,Normal,2,Normal,Flying,0.3,1.8,251,40,45,40,35,35,56,255,70,50,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Pidgeotto,1,Normal,2,Normal,Flying,1.1,30,349,63,60,55,50,50,71,120,70,122,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Pidgeot,1,Normal,2,Normal,Flying,1.5,39.5,479,83,80,75,70,70,101,45,70,216,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Mega Pidgeot,1,Normal,2,Normal,Flying,2.2,50.5,579,83,80,80,135,80,121,45,70,261,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Rattata,1,Normal,1,Normal,none,0.3,3.5,253,30,56,35,25,35,72,255,70,51,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Alolan Rattata,1,Normal,2,Dark,Normal,0.3,3.8,253,30,56,35,25,35,72,255,70,51,50,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
Raticate,1,Normal,1,Normal,none,0.7,18.5,413,55,81,60,50,70,97,127,70,145,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Alolan Raticate,1,Normal,2,Dark,Normal,0.7,25.5,413,75,71,70,40,80,77,127,70,145,50,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
Spearow,1,Normal,2,Normal,Flying,0.3,2,262,40,60,30,31,31,70,255,70,52,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Fearow,1,Normal,2,Normal,Flying,1.2,38,442,65,90,65,61,61,100,90,70,155,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Ekans,1,Normal,1,Poison,none,2,6.9,288,35,60,44,40,54,55,255,70,58,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Arbok,1,Normal,1,Poison,none,3.5,65,448,60,95,69,65,79,80,90,70,157,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Pikachu,1,Normal,1,Electric,none,0.4,6,320,35,55,40,50,50,90,190,70,112,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Partner Pikachu,1,Normal,1,Electric,none,0.4,6,430,45,80,50,75,60,120,190,70,112,50,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Raichu,1,Normal,1,Electric,none,0.8,30,485,60,90,55,90,80,110,75,70,218,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Alolan Raichu,1,Normal,2,Electric,Psychic,0.7,21,485,60,85,50,95,85,110,75,70,218,50,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Sandshrew,1,Normal,1,Ground,none,0.6,12,300,50,75,85,20,30,40,255,70,60,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
